,iso,meantemp,gdp,growth,gdpcap,pop,poor
79,JOR,18.06545455,12906888174,0.036127736,2396.45533,5414636.364,TRUE
80,JPN,14.25636364,4.51E+12,0.008369479,35392.4807,127541382.5,FALSE
81,KAZ,6.655454545,57010710171,0.0726666,3724.391601,15322772.64,FALSE
82,KEN,20.42909091,19109173299,0.010709573,536.0614766,35904933.36,TRUE
83,KGZ,7.461818182,2542853296,0.030664936,493.1739251,5161954.545,TRUE
84,KHM,27.97909091,6331973119,0.060951649,476.3182478,13326998.91,TRUE
85,KOR,11.78090909,9.04E+11,0.041742251,18739.99694,48230468.64,FALSE
86,KWT,26.36272727,75713687149,5.66E-05,32634.31838,2369133.455,FALSE
87,LAO,23.98636364,2859719390,0.050556911,491.2344993,5838594.364,TRUE
88,LBN,14.34727273,22342572085,0.02410743,5817.297011,3875716.455,FALSE
89,LBR,26.16545455,661525056.7,0.050012388,199.106543,3354481,TRUE
90,LBY,21.07181818,43745605536,0.026437341,7824.611996,5604512.545,FALSE
91,LKA,26.59363636,25246366907,0.043790534,1285.179253,19662636.36,TRUE
92,LSO,11.79454545,1414408982,0.031792253,733.7408419,1928820.455,TRUE
93,LTU,7.104545455,24950289896,0.05347881,7533.167931,3317079,FALSE
94,LUX,9.660909091,37173861432,0.015540719,79660.87329,467718.0909,FALSE
95,LVA,6.690909091,15152968521,0.050630065,6773.285763,2239999.727,FALSE
96,MAR,17.41,60838820218,0.034709265,2020.299969,30140652.91,TRUE
97,MDA,9.876363636,2887728560,0.049537492,802.8781792,3596908.909,TRUE
98,MDG,21.00636364,5122950013,-0.002741465,281.747239,18337709.45,TRUE
99,MEX,18.85181818,8.69E+11,0.007879059,7854.73375,110820958.3,FALSE
100,MKD,9.819090909,6127816355,0.024177138,2938.484312,2085479.091,FALSE
101,MLI,28.63,5424260681,0.024930214,455.8252399,12015878.91,TRUE
102,MNG,-0.451818182,2589097721,0.046077664,1021.4914,2538552.455,TRUE
103,MOZ,24.62636364,6613400793,0.042129219,316.5044666,21050311.82,TRUE
104,MRT,28.84818182,2260998352,0.014352909,723.5466355,3150939.364,TRUE
105,MUS,24.42636364,6460308053,0.033661526,5215.307384,1239456.545,FALSE
106,MWI,22.83181818,2859167470,-0.00199794,221.1607774,13031868,TRUE
107,MYS,26.32363636,1.44E+11,0.029486247,5585.912659,25851720.09,FALSE
108,NAM,21.91909091,7271155760,0.02934924,3582.36143,2033273.455,FALSE
109,NER,28.93909091,3511795523,0.002487344,267.9044231,13287442.18,TRUE
110,NGA,27.25454545,1.10E+11,0.056023893,789.377013,140276435.4,TRUE
111,NIC,26.47363636,6317448598,0.01566152,1159.406423,5458141.727,TRUE
112,NLD,10.47,6.45E+11,0.01110694,39577.31451,16296976.64,FALSE
113,NOR,5.190909091,3.00E+11,0.007928218,64500.74071,4652632.091,FALSE
114,NPL,21.21363636,8260403545,0.025088578,328.8368327,25173280.82,TRUE
115,NZL,12.81090909,1.10E+11,0.013246403,26867.81517,4118245.455,FALSE
116,OMN,26.40636364,32754701956,0.025098456,13266.19561,2481779.545,FALSE
117,PAK,23.30727273,1.08E+11,0.02226189,685.0942604,158273733.9,TRUE
118,PAN,25.82181818,16490904452,0.037397126,4916.10351,3366067,FALSE
119,PER,15.42181818,77583806888,0.039998376,2806.651795,27680424.18,FALSE
120,PHL,26.01272727,1.04E+11,0.027449565,1220.131107,85682237.27,TRUE
121,PNG,21.89909091,5143230957,0.006987451,847.3433024,6105841.545,TRUE
122,POL,8.548181818,3.14E+11,0.039800778,8216.782993,38182925.27,FALSE
123,PRI,24.97363636,80445759763,0.006632097,21203.2391,3794373.455,FALSE
124,PRT,15.23727273,1.92E+11,0.006617007,18341.58899,10480276.27,FALSE
125,PRY,22.32545455,9025982547,0.009632056,1534.185352,5904115.455,TRUE
126,QAT,27.524,57535161779,0.013128353,64386.63194,1023630.3,FALSE
127,ROU,9.940909091,99368730836,0.04991794,4678.280993,21261833.73,FALSE
128,RUS,4.563636364,7.62E+11,0.054568292,5307.335075,143676116.4,FALSE
129,RWA,20.59363636,2686863112,0.047151197,282.7347839,9557414.182,TRUE
130,SAU,26.54363636,3.32E+11,0.021911559,13861.10609,24177427.82,FALSE
131,SDN,28.59818182,27536513585,0.032939239,876.3956456,31622771.55,TRUE
132,SEN,27.34909091,8592549470,0.012382968,764.5559638,11322441.55,TRUE
133,SLB,27.41363636,429144558,-0.012734988,919.9560549,469278,TRUE
134,SLE,26.85090909,1626026323,0.030127828,327.1597462,5028320.455,TRUE
135,SLV,23.03090909,17060657990,0.014567955,2806.603489,6079791,TRUE
136,SRB,10.34363636,24557825972,0.040466607,3308.397007,7423630.818,FALSE
137,STP,26.37,133930670.1,0.024068128,851.7819756,158105.9,TRUE
138,SUR,27.12454545,1771383964,0.031370475,3563.290698,497817,FALSE
139,SVK,8.608181818,62930992640,0.043650715,11699.65914,5378882.091,FALSE
140,SVN,8.738181818,35744885582,0.025074648,17790.52585,2009390.182,FALSE
141,SWE,6.113636364,3.66E+11,0.018153993,40348.92543,9072657.636,FALSE
142,SWZ,20.26545455,2607166631,0.010314059,2338.051144,1116543,TRUE
143,SYR,17.82625,26949353795,0.021366538,1527.779575,17696889.25,TRUE
144,TCD,28.54454545,5751367503,0.056869522,581.8117095,10004238.64,TRUE
145,TGO,26.89909091,2162366447,-0.007242857,391.6942018,5557844.182,TRUE
146,THA,27.13818182,1.74E+11,0.035955876,2677.361981,65015581.27,TRUE
147,TJK,12.39636364,2313570157,0.058310016,339.5058768,6844938.545,TRUE
148,TKM,16.16545455,8862983273,0.060922885,1864.882663,4758585,TRUE
149,TTO,25.98454545,15937106758,0.050959982,12288.06585,1297255.455,FALSE
150,TUN,19.62090909,32993220130,0.033810082,3287.693025,10044618.18,FALSE
151,TUR,12.73181818,4.69E+11,0.027062111,6937.769122,67699001.73,FALSE
152,TZA,22.64181818,14406291236,0.037979465,371.3347024,39100152.09,TRUE
153,UGA,22.81636364,9529097503,0.034561909,333.6951675,28882534.73,TRUE
154,UKR,8.933636364,82680029261,0.050598244,1750.156299,47264655.73,TRUE
155,URY,18.25727273,18174062249,0.022502002,5447.481855,3336309.364,FALSE
156,USA,13.66909091,1.28E+13,0.009032159,43292.55281,295726299.8,FALSE
157,UZB,14.66454545,15113252716,0.049669089,575.4132059,26315868.18,TRUE
158,VCT,26.77363636,546660256.5,0.023976643,5030.53857,108670.5455,FALSE
159,VEN,25.77727273,1.49E+11,0.013745399,5592.848851,26726319.27,FALSE
160,VNM,24.89636364,58376514102,0.0526203,709.9040642,82336736.36,TRUE
161,VUT,25.29909091,416032178.1,0.00732674,1995.012254,209812.7273,TRUE
162,WSM,26.48636364,396346011.6,0.025356673,2202.07143,180060.1818,TRUE
163,YEM,23.09818182,16676177368,0.013890594,833.9381307,20134303.36,TRUE
164,ZAF,17.49454545,2.48E+11,0.019819871,5226.806255,47604243.27,FALSE
165,ZMB,21.59454545,7404667278,0.025978941,645.8550359,11547046.09,TRUE
166,ZWE,20.52545455,6213828766,-0.05183852,488.2142937,12729316.45,TRUE
167,MMR,,,,,,TRUE
